sweep	gR
676	3.74000263E-001
677	4.32189279E-001
678	3.67937191E-001
679	3.00324537E-001
680	3.47400395E-001
681	2.54228837E-001
682	1.76026317E-001
683	6.22810166E-002
684	6.41083931E-002
685	1.20535543E-001
686	2.39291776E-001
687	3.48715838E-001
688	3.21919559E-001
689	2.21455911E-001
690	7.11314129E-002
691	2.04065786E-001
692	1.59953647E-001
693	-1.05960781E-001
694	2.19436622E-002
695	8.47540603E-002
696	1.70097430E-001
697	5.96519424E-002
698	6.74504396E-002
699	1.75785917E-001
700	1.15778523E-001
701	1.15455083E-001
702	2.99921541E-002
703	1.50051812E-001
704	3.60904203E-001
705	3.12833399E-001
706	2.14213384E-001
707	3.12473286E-001
708	2.07477265E-001
709	1.32123438E-001
710	8.58086719E-002
711	6.90073897E-002
712	7.87762618E-002
713	2.10425966E-002
714	-5.48837671E-002
715	-3.98213158E-002
716	4.62629348E-002
717	-1.18766093E-002
718	2.67013746E-002
719	-2.39147609E-002
720	-2.54307957E-001
721	-2.39245149E-001
722	-1.23988310E-001
723	-2.51001788E-001
724	-1.72672382E-001
725	-7.27141463E-002
726	2.50394240E-002
727	1.46602675E-002
728	9.70319320E-002
729	-9.68817561E-002
730	-1.80473693E-001
731	-4.54649077E-002
732	-8.75370370E-002
733	-4.94254124E-002
734	-1.01732667E-001
735	-2.40958388E-001
736	-2.15081369E-001
737	3.22748755E-002
738	-3.03480362E-001
739	-2.11729004E-001
740	-1.95176380E-001
741	-1.32098078E-001
742	-8.42891766E-002
743	-2.52212018E-001
744	-2.16366030E-001
745	-1.58873802E-001
746	-4.91699342E-002
747	-1.01742859E-001
748	-4.29788670E-002
749	-1.50393901E-002
750	-9.98929845E-002
751	3.71678487E-002
752	3.56750580E-002
753	3.63591425E-002
754	6.58799630E-002
755	3.39183172E-003
756	5.16538254E-002
757	-1.78474457E-002
758	1.52021674E-001
759	8.94586591E-002
760	9.86346146E-002
761	-7.51887073E-002
762	-3.74908562E-002
763	-2.12025405E-002
764	2.67596586E-002
765	3.84903493E-002
766	1.88146451E-002
767	9.08847791E-002
768	2.09247640E-001
769	1.34519873E-001
770	2.97161029E-001
771	2.49914975E-001
772	1.65180009E-001
773	7.33237499E-002
774	1.03633463E-001
775	1.48983934E-001
776	-9.81349680E-005
777	1.30186646E-001
778	1.99691674E-001
779	3.48037147E-001
780	1.58590353E-001
781	-5.29128255E-002
782	-1.08606193E-001
783	-1.59179857E-002
784	-6.99361723E-003
785	1.17861629E-002
786	1.00744312E-001
787	7.14010458E-002
788	1.20715532E-001
789	1.29136915E-001
790	-7.83602826E-003
791	9.15741904E-002
792	6.20768196E-002
793	2.89644550E-001
794	1.37130206E-001
795	2.23492561E-001
796	2.25530992E-001
797	1.64785627E-001
798	5.58965529E-002
799	1.34602483E-001
800	3.88871213E-001
801	4.03832498E-001
802	2.74873143E-001
803	2.50700843E-001
804	7.47246770E-002
805	-1.28695405E-001
806	-3.44241678E-002
807	1.44482316E-002
808	8.50243172E-002
809	1.32200094E-001
810	5.89360683E-002
811	1.07106674E-001
812	5.83484117E-002
813	-1.61977633E-001
814	-1.34315725E-001
815	6.73593297E-002
816	8.46066269E-003
817	-1.32030421E-001
818	-2.37921253E-002
819	-8.41871223E-002
820	-1.17699127E-001
821	-4.48850064E-002
822	-1.77798843E-002
823	-1.02293346E-001
824	-1.01145618E-001
825	-9.37448002E-002
826	3.00729378E-002
827	-5.92346705E-002
828	-1.08536211E-001
829	-8.40259192E-002
830	4.62936941E-002
831	1.45142137E-001
832	5.13941581E-002
833	-6.24975200E-002
834	-1.10450024E-001
835	-3.44231074E-002
836	-8.34181144E-002
837	-1.12500759E-001
838	-8.64873472E-002
839	-1.16419825E-001
840	-8.31570384E-003
841	-9.22677300E-002
842	1.86048727E-002
843	-1.70200643E-002
844	-1.86945679E-003
845	-9.38153625E-002
846	-8.39014769E-002
847	2.84086378E-002
848	2.28208032E-002
849	1.57541926E-002
850	-8.32828167E-002
851	-5.10997760E-002
852	9.48706602E-002
853	-1.18371562E-001
854	-1.78351157E-001
855	-1.32466797E-001
856	-1.08144456E-001
857	-1.95233701E-001
858	-1.87576505E-001
859	-2.55489129E-002
860	9.49108416E-002
861	2.50543750E-001
862	1.10662091E-001
863	1.11890395E-001
864	-3.23060620E-002
865	2.42135067E-002
866	6.68184148E-003
867	-5.98166499E-003
868	3.37661878E-002
869	-1.38929102E-001
870	-4.93857536E-002
871	-2.15130344E-002
872	1.93929243E-003
873	-4.23431376E-002
874	1.65973692E-002
875	-1.51590298E-001
876	-2.03695801E-001
877	-1.07330975E-002
878	2.93901392E-002
879	8.83090212E-003
880	1.52559187E-002
881	-2.56822319E-002
882	-7.92365186E-002
883	-4.07358526E-002
884	-7.83855993E-002
885	-1.44180569E-001
886	4.69833431E-002
887	3.67118558E-002
888	1.42357040E-002
889	-1.30363364E-001
