sweep	g1
592	7.06010006E+002
593	7.76115254E+002
594	7.98316442E+002
595	7.13801467E+002
596	6.60954353E+002
597	6.63116456E+002
598	5.71334193E+002
599	7.39728325E+002
600	8.31898035E+002
601	7.08178849E+002
602	6.47720098E+002
603	7.86765123E+002
604	7.65604106E+002
605	6.46483666E+002
606	6.95387304E+002
607	7.07194279E+002
608	7.32538411E+002
609	6.68661854E+002
610	6.96453414E+002
611	7.39536423E+002
612	6.95161808E+002
613	6.60843860E+002
614	6.77902743E+002
615	7.56349871E+002
616	8.10444240E+002
617	7.43901510E+002
618	7.81969691E+002
619	6.97940185E+002
620	7.53846248E+002
621	7.34213227E+002
622	7.06605922E+002
623	7.10284938E+002
624	8.69636679E+002
625	8.42244877E+002
626	8.14532505E+002
627	7.48943028E+002
628	7.64919877E+002
629	7.65727742E+002
630	7.68083510E+002
631	7.45688399E+002
632	7.17179048E+002
633	7.34745574E+002
634	7.25796375E+002
635	7.43990407E+002
636	8.64849884E+002
637	8.43668728E+002
638	7.85295274E+002
639	7.60293736E+002
640	7.57103587E+002
641	7.53676924E+002
642	6.90013138E+002
643	6.73846045E+002
644	6.62758932E+002
645	6.65757682E+002
646	7.20623138E+002
647	8.36452543E+002
648	8.54619341E+002
649	8.37890800E+002
650	7.02214564E+002
651	8.15425161E+002
652	7.25726990E+002
653	8.37284690E+002
654	8.22158336E+002
655	8.65111144E+002
656	8.60087333E+002
657	8.18588432E+002
658	7.86148335E+002
659	7.63996730E+002
660	8.68113395E+002
661	8.47029033E+002
662	8.89853461E+002
663	9.01403567E+002
664	8.46579544E+002
665	8.65123715E+002
666	9.20206961E+002
667	8.54942059E+002
668	8.45746949E+002
669	9.37101975E+002
670	8.29113830E+002
671	7.97442804E+002
672	8.13423157E+002
673	8.41108756E+002
674	7.43704212E+002
675	7.05684008E+002
676	7.50201782E+002
677	7.59716807E+002
678	7.87982293E+002
679	8.08757764E+002
680	7.76619306E+002
681	8.11982371E+002
682	7.18320537E+002
683	6.83780559E+002
684	7.07764574E+002
685	6.22403125E+002
686	7.07042389E+002
687	7.33705032E+002
688	6.92779953E+002
689	7.27016306E+002
690	7.52809738E+002
691	7.61463174E+002
692	7.23838401E+002
693	7.08387692E+002
694	8.14066965E+002
695	8.04519453E+002
696	7.59077541E+002
697	7.38404520E+002
698	7.30199378E+002
699	7.30299166E+002
700	7.49529912E+002
701	7.81844153E+002
702	7.77413004E+002
703	8.19740758E+002
704	7.73906203E+002
705	8.58001064E+002
706	8.22915933E+002
707	8.22639505E+002
708	8.33534205E+002
709	8.30877050E+002
710	7.39788110E+002
711	8.61563597E+002
712	8.74848645E+002
713	8.38990782E+002
714	8.42888451E+002
715	7.59552562E+002
716	8.94314021E+002
717	9.27463090E+002
718	8.48776255E+002
719	8.68421294E+002
720	9.10857794E+002
721	8.12426605E+002
722	8.32292509E+002
723	8.70383685E+002
724	9.00618177E+002
725	8.85692255E+002
726	8.82095362E+002
727	9.32604720E+002
728	9.18605091E+002
729	8.98812786E+002
730	9.03750861E+002
731	8.46305625E+002
732	8.68621451E+002
733	9.34459540E+002
734	9.23839344E+002
735	9.16724386E+002
736	9.44928126E+002
737	9.38517823E+002
738	9.04536676E+002
739	9.25897720E+002
740	8.94134780E+002
741	9.08501978E+002
742	8.65957040E+002
743	8.37533943E+002
744	8.17064920E+002
745	8.28928691E+002
746	8.39635869E+002
747	7.88961928E+002
748	9.32350411E+002
749	9.09781335E+002
750	8.84582576E+002
751	9.05364021E+002
752	9.16813615E+002
753	9.11983837E+002
754	9.45817300E+002
755	9.53557019E+002
756	9.42559282E+002
757	9.31845300E+002
758	9.34704134E+002
759	9.75840111E+002
760	9.36297251E+002
761	9.93143539E+002
762	9.89387478E+002
763	9.46808769E+002
764	9.50377216E+002
765	8.64228499E+002
766	9.24189129E+002
767	8.37504727E+002
768	8.21584136E+002
769	8.14505543E+002
770	9.15674013E+002
771	8.99947957E+002
772	9.21147216E+002
773	9.38378873E+002
774	9.31141893E+002
775	9.73598396E+002
