sweep	g_CM
438	4.16921285E+001
439	4.33360046E+001
440	4.53263823E+001
441	4.66607839E+001
442	4.23705731E+001
443	4.43362633E+001
444	4.12810994E+001
445	4.01066507E+001
446	4.75534456E+001
447	5.13656066E+001
448	5.02678454E+001
449	5.02866831E+001
450	4.74662389E+001
451	4.51470703E+001
452	4.41208810E+001
453	4.19173217E+001
454	4.40982084E+001
455	4.81276626E+001
456	4.47404626E+001
457	4.70070759E+001
458	4.74210572E+001
459	5.08599496E+001
460	5.30365017E+001
461	5.08624792E+001
462	4.81113601E+001
463	5.10033109E+001
464	4.40446074E+001
465	5.13350812E+001
466	4.80583788E+001
467	5.11655606E+001
468	5.48910784E+001
469	5.33842425E+001
470	6.01602795E+001
471	5.16813989E+001
472	5.26214030E+001
473	5.44779369E+001
474	5.61825734E+001
475	5.25128537E+001
476	5.19456181E+001
477	5.40264673E+001
478	4.83530797E+001
479	5.22515665E+001
480	5.37135578E+001
481	5.72342949E+001
482	5.38555099E+001
483	4.79268477E+001
484	4.88849305E+001
485	5.47324924E+001
486	6.25089172E+001
487	6.10542778E+001
488	6.34222133E+001
489	5.72649511E+001
490	5.38090383E+001
491	5.62841147E+001
492	5.02589938E+001
493	6.01330210E+001
494	5.59323189E+001
495	5.60151849E+001
496	5.95609932E+001
497	5.98108611E+001
498	6.09269964E+001
499	5.80890897E+001
500	5.23312931E+001
501	5.33360706E+001
502	5.75914038E+001
503	5.95316697E+001
504	6.00897960E+001
505	5.62364230E+001
506	5.82635574E+001
507	5.49826682E+001
508	5.89476307E+001
509	6.04605412E+001
510	6.06277672E+001
511	5.57610498E+001
512	5.64939316E+001
513	6.13237457E+001
514	5.94868441E+001
515	5.92176523E+001
516	5.76876195E+001
517	6.35801874E+001
518	6.47154877E+001
519	6.52579016E+001
520	6.55019602E+001
521	6.89795207E+001
522	6.01244389E+001
523	6.54469406E+001
524	6.37854443E+001
525	6.19398168E+001
526	6.38365667E+001
527	6.20373078E+001
528	5.76670687E+001
529	6.12885937E+001
530	6.97937833E+001
531	6.67901383E+001
532	7.12392160E+001
533	6.99714271E+001
534	6.43070903E+001
535	6.61943769E+001
536	6.74120012E+001
537	6.74147284E+001
538	5.98958756E+001
539	6.57413001E+001
540	6.78184841E+001
541	6.81820749E+001
542	6.80175990E+001
543	6.26779963E+001
544	6.40995031E+001
545	7.40780153E+001
546	6.82132072E+001
547	6.79939564E+001
548	6.63719469E+001
549	6.71952274E+001
550	6.77452792E+001
551	6.23899669E+001
552	6.48746275E+001
553	6.21605124E+001
554	7.17831719E+001
555	6.53965628E+001
556	6.65250427E+001
557	6.62374028E+001
558	6.87166064E+001
559	7.05483378E+001
560	6.55874966E+001
561	6.98339417E+001
562	7.12891792E+001
563	6.90092920E+001
564	6.23540227E+001
565	6.70321433E+001
566	6.56277820E+001
567	6.38205611E+001
568	6.58177530E+001
569	7.51964991E+001
570	6.92978368E+001
571	6.98080720E+001
572	7.17549032E+001
573	7.34583854E+001
574	7.50142433E+001
575	7.85042453E+001
576	7.45112029E+001
577	7.54552846E+001
578	7.31033498E+001
579	6.84272637E+001
580	7.43220450E+001
581	7.17534487E+001
582	7.23973722E+001
583	7.82540488E+001
584	7.70220459E+001
585	8.25976585E+001
586	7.60697756E+001
587	7.72229203E+001
588	7.36006150E+001
589	7.55223090E+001
590	7.51391719E+001
591	7.71811078E+001
592	7.30556701E+001
593	6.65904657E+001
594	6.45557091E+001
595	6.46997168E+001
596	7.00096807E+001
597	6.74679734E+001
598	6.33843478E+001
599	6.16930410E+001
600	6.63172942E+001
601	6.76587279E+001
602	6.61543106E+001
603	7.33892085E+001
604	7.02553974E+001
605	6.42822457E+001
606	6.29476011E+001
607	6.62486518E+001
608	6.71420875E+001
609	6.66184692E+001
610	6.92411147E+001
611	7.14456256E+001
612	6.81194472E+001
613	7.36822439E+001
614	6.94550288E+001
615	6.96491605E+001
616	7.17343254E+001
617	6.84235003E+001
618	6.92637527E+001
619	6.89040105E+001
620	6.88730394E+001
621	6.76499043E+001
622	6.68116892E+001
623	6.86679017E+001
624	7.00154101E+001
625	6.78049959E+001
626	7.04706954E+001
627	6.54331751E+001
628	6.19469427E+001
629	6.52146680E+001
630	6.10856264E+001
631	6.79927503E+001
632	6.87307612E+001
633	6.38484679E+001
634	6.87373065E+001
635	7.35172422E+001
636	6.96311451E+001
637	7.06232999E+001
638	7.95599253E+001
639	7.73083406E+001
640	7.68150786E+001
641	7.33775320E+001
642	6.82244910E+001
643	7.03445246E+001
644	7.20903987E+001
645	6.86393098E+001
646	6.99259126E+001
647	6.65429082E+001
648	6.89594564E+001
649	7.04029928E+001
650	6.36736371E+001
651	6.74013271E+001
652	6.73188642E+001
653	7.73140197E+001
654	7.20190942E+001
655	7.07902279E+001
656	6.87073251E+001
657	6.80194854E+001
658	6.64371855E+001
659	6.36765367E+001
660	7.07941339E+001
661	6.87211826E+001
662	6.90719925E+001
663	6.65283217E+001
664	6.65900024E+001
665	6.28714985E+001
666	6.33030069E+001
667	6.68406005E+001
668	6.57472332E+001
669	6.02485741E+001
670	6.10801889E+001
671	6.87847601E+001
672	6.48331864E+001
673	6.74968337E+001
674	5.91478012E+001
675	6.38416023E+001
676	6.34631128E+001
677	6.84970170E+001
678	6.64093914E+001
679	6.58695245E+001
680	6.15139836E+001
681	6.12836947E+001
682	6.34506775E+001
683	6.84417562E+001
684	6.92243125E+001
685	6.05871227E+001
686	6.32939880E+001
687	5.97418688E+001
688	6.10386115E+001
689	6.69940431E+001
690	6.14812079E+001
691	5.72075004E+001
692	6.36668415E+001
693	6.47823756E+001
694	6.61678024E+001
695	6.53888446E+001
696	7.10462068E+001
697	6.83165545E+001
698	6.58777167E+001
699	7.20532523E+001
700	6.98893983E+001
701	6.27785948E+001
702	6.64132585E+001
703	6.09455357E+001
704	6.73394144E+001
705	6.51621381E+001
706	5.89476238E+001
707	5.65198639E+001
708	6.39997767E+001
709	6.19757240E+001
710	6.42683635E+001
711	6.25717268E+001
712	6.90431886E+001
713	7.13682613E+001
714	6.43530411E+001
715	6.50480591E+001
716	7.30264508E+001
717	6.46135225E+001
718	6.70533727E+001
719	6.63138793E+001
720	6.16788179E+001
721	6.28149783E+001
722	5.92573583E+001
723	5.78479265E+001
724	6.36240716E+001
725	6.01008809E+001
726	6.00642609E+001
727	5.66300270E+001
728	6.08814577E+001
729	6.18895411E+001
730	7.09887587E+001
731	6.55383612E+001
732	6.93269400E+001
733	6.40836108E+001
734	6.06003031E+001
735	5.73664731E+001
736	5.59475823E+001
737	6.01684403E+001
738	6.54244763E+001
739	6.31172122E+001
740	6.15478105E+001
741	6.95563859E+001
742	6.44768719E+001
743	7.01040783E+001
744	6.98152181E+001
745	7.14011404E+001
746	7.33133582E+001
747	6.93590152E+001
748	7.09465959E+001
749	6.82514473E+001
750	6.70216883E+001
751	6.74928534E+001
752	6.62712946E+001
753	6.81794209E+001
754	7.02418842E+001
755	7.61323264E+001
756	7.67475842E+001
757	7.18543373E+001
758	7.35436610E+001
759	7.16700288E+001
760	6.82711395E+001
761	6.64029654E+001
762	6.66667055E+001
763	6.90337609E+001
764	7.18856898E+001
765	7.71430757E+001
766	7.80357513E+001
767	7.85355301E+001
768	7.31095140E+001
769	6.70848535E+001
770	7.33038717E+001
771	6.83445547E+001
772	6.82092177E+001
773	6.81993879E+001
774	6.99293439E+001
775	7.40770575E+001
776	7.58927884E+001
777	6.68900651E+001
778	7.29607092E+001
779	6.50439980E+001
780	7.10238059E+001
781	6.87037104E+001
782	7.53235913E+001
783	8.01709267E+001
784	7.88119205E+001
785	8.22741487E+001
786	8.35620322E+001
787	8.15346042E+001
788	8.26198959E+001
789	8.44856788E+001
790	8.47381025E+001
791	7.22621793E+001
792	8.03199971E+001
793	8.79774411E+001
794	8.04839685E+001
795	7.79542245E+001
796	8.51453472E+001
797	8.64074997E+001
798	9.11612460E+001
799	7.98797587E+001
800	8.23327980E+001
801	7.59907621E+001
802	7.71695757E+001
803	8.19310906E+001
804	8.26388456E+001
805	8.02694695E+001
806	7.61163840E+001
807	8.09754600E+001
808	8.23467300E+001
809	8.78635397E+001
810	8.50694039E+001
811	8.19398988E+001
812	7.94098748E+001
813	8.25370838E+001
814	8.75700407E+001
815	8.40184927E+001
816	7.67956175E+001
817	8.84954457E+001
818	8.18891244E+001
819	7.70076719E+001
820	8.27329651E+001
821	8.14760591E+001
822	8.41124308E+001
823	8.41591958E+001
824	8.47753743E+001
825	8.15742546E+001
826	8.69962525E+001
827	8.86101722E+001
828	8.89319382E+001
829	8.80805397E+001
830	9.04184872E+001
831	7.59289996E+001
832	7.91140587E+001
833	9.13964671E+001
834	8.55462833E+001
835	8.28931053E+001
836	8.23057231E+001
837	8.49844801E+001
838	7.74572998E+001
839	7.48906905E+001
840	8.30748346E+001
841	8.46891010E+001
842	7.01406958E+001
843	7.33063876E+001
844	7.27994336E+001
845	7.90598069E+001
846	7.42369201E+001
847	7.18732358E+001
848	6.92564420E+001
849	7.67060003E+001
850	7.64777502E+001
851	7.37140886E+001
852	7.48716020E+001
853	7.64927193E+001
854	7.88021920E+001
855	7.86027818E+001
856	7.81504008E+001
857	7.90773067E+001
858	7.15039321E+001
859	7.81073483E+001
860	8.31087155E+001
861	8.45228392E+001
862	7.73720714E+001
863	7.86504515E+001
864	8.21687639E+001
865	7.71994629E+001
866	8.08867508E+001
867	8.08019466E+001
868	7.86302325E+001
869	7.86562986E+001
870	7.97910090E+001
871	7.74366982E+001
872	8.32585030E+001
873	8.30137997E+001
874	8.16587617E+001
875	8.29195767E+001
876	8.72561715E+001
877	9.00719648E+001
878	8.97416074E+001
879	8.70110725E+001
880	8.04567687E+001
881	7.94297893E+001
882	7.75820791E+001
883	7.77842710E+001
884	7.55293938E+001
885	8.15014974E+001
886	8.86181331E+001
887	8.25786726E+001
888	8.07638202E+001
889	8.03855230E+001
890	8.91810640E+001
891	8.53926303E+001
892	9.03455732E+001
893	9.12015702E+001
894	8.47351041E+001
895	7.89201434E+001
896	7.95707153E+001
897	7.75131351E+001
898	7.94753675E+001
899	7.52154662E+001
900	7.83427358E+001
901	8.47755144E+001
902	8.31000863E+001
903	8.33979446E+001
904	8.03810022E+001
905	8.49527176E+001
906	9.01804978E+001
907	8.70984316E+001
908	8.76355139E+001
909	8.58347203E+001
910	9.16223356E+001
911	8.98925358E+001
912	8.61833238E+001
913	8.53226181E+001
914	8.72640079E+001
915	8.60512651E+001
916	8.44704655E+001
917	9.04050692E+001
918	9.46671016E+001
919	9.50054135E+001
920	9.16966697E+001
921	9.05265640E+001
922	9.38661772E+001
923	9.03690406E+001
924	8.99433024E+001
925	9.44740184E+001
926	9.97549043E+001
927	1.00517158E+002
928	9.57137753E+001
929	9.63231016E+001
930	9.18122131E+001
931	8.35405080E+001
932	8.47550116E+001
933	8.98451339E+001
934	9.38820042E+001
935	9.04347404E+001
936	8.83002893E+001
937	9.67939307E+001
938	9.92219140E+001
939	9.92529458E+001
940	9.32749013E+001
941	1.02446191E+002
942	9.41553077E+001
943	1.00633769E+002
944	9.93324449E+001
945	1.01985669E+002
946	1.01143158E+002
947	9.63725114E+001
948	1.01922471E+002
949	1.04780787E+002
950	1.00039478E+002
